imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt15567704,Salaam Venky,2022,Drama,6.7,3099.0,"Aamir Khan, Kajol, Aneet Padda, Priyamani, Riddhi Kumar",Revathi,drama drama drama revathi revathi aamir khan kajol aneet padda priyamani riddhi kumar,6.327048147221214
tt15567964,C.S.I Sanatan,2023,"Crime, Thriller",4.6,2473.0,"Aadi, Misha Narang, Nandini Rai, Bhupal, Khayyum",Sivashankar Dev,crime thriller crime thriller crime thriller sivashankar dev sivashankar dev aadi misha narang nandini rai bhupal khayyum,6.241405498295509
tt15567974,Manucharitra,2023,"Drama, Romance",6.0,1147.0,"Megha Akash, Harshitha, Srikanth Iyengar, Shiva Kandukuri, Garima Kaushal",Bharath Pedagani,drama romance drama romance drama romance bharath pedagani bharath pedagani megha akash harshitha srikanth iyengar shiva kandukuri garima kaushal,6.302371800930372
tt15568218,Haami 2,2022,"Comedy, Drama",7.8,1150.0,"Prosenjit Chatterjee, Monami Ghosh, Anjan Dutt, Tanushree Chakraborty, Kharaj Mukherjee","Shiboprosad Mukherjee, Nandita Roy",comedy drama comedy drama comedy drama shiboprosad mukherjee nandita roy shiboprosad mukherjee nandita roy prosenjit chatterjee monami ghosh anjan dutt tanushree chakraborty kharaj mukherjee,6.335721540577099
tt15568612,Kacher Manush,2022,"Drama, Thriller",6.9,1082.0,"Dev, Prosenjit Chatterjee, Ishaa Saha, Ishaa Saha, Susmita Chatterjee",Pathikrit Basu,drama thriller drama thriller drama thriller pathikrit basu pathikrit basu dev prosenjit chatterjee ishaa saha ishaa saha susmita chatterjee,6.318401912905272
tt15568760,Nitham Oru Vaanam,2022,Drama,7.3,2305.0,"Abhirami, Arjunan, Aparna Balamurali, Aparna Balamurali, Badava Gopi",Ra Karthik,drama drama drama ra karthik ra karthik abhirami arjunan aparna balamurali aparna balamurali badava gopi,6.344246304243769
tt15575470,Project Wolf Hunting,2022,"Action, Crime, Horror",6.1,9238.0,"Seo In-guk, Jang Dong-yoon, Jung So-min, Choi Gwi-hwa, Sung Dong-il",Hongsun Kim,action crime horror action crime horror action crime horror hongsun kim hongsun kim seo in-guk jang dong-yoon jung so-min choi gwi-hwa sung dong-il,6.280659483616121
tt15575900,Appan,2022,"Comedy, Crime, Drama",7.5,1341.0,"Sunny Wayne, Alencier Ley Lopez, Pauly Valsan, Ananya, Grace Antony",Maju,comedy crime drama comedy crime drama comedy crime drama maju maju sunny wayne alencier ley lopez pauly valsan ananya grace antony,6.33375116599036
tt15576290,Do Aur Do Pyaar,2024,"Comedy, Drama, Romance",6.4,12386.0,"Vidya Balan, Pratik Gandhi, Ileana D'Cruz, Sendhil Ramamurthy, Thalaivasal Vijay",Shirsha Guha Thakurta,comedy drama romance comedy drama romance comedy drama romance shirsha guha thakurta shirsha guha thakurta vidya balan pratik gandhi ileana d'cruz sendhil ramamurthy thalaivasal vijay,6.323606523775739
tt15576460,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family",5.9,16912.0,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee, Neeraj Sood",Laxman Utekar,comedy drama family comedy drama family comedy drama family laxman utekar laxman utekar vicky kaushal sara ali khan inaamulhaq sushmita mukherjee neeraj sood,6.219367447804838
